Node,Pos_X,Pos_Y,Destination
1,879,4924,Parabol Gate
2,1790,4924,Material Base
3,2106,4924,Material Base
4,2918,4924,Viet-Duc Building
5,3944,4924,TQB-Library
6,5264,4924,TQB-Library
7,6921,4924,Tran Dai Nghia Gate
8,8098,4924,B1
9,9604,4924,Nha An KTX
10,2903,3979,C1 C2 Playard
11,2479,3979,C9
12,2479,2915,C2
13,3031,2338,C1
14,887,2069,
15,1459,1619,
16,2945,1619,
17,4190,1619,
18,5433,2317,C3
19,5433,3089,"C4, C6"
20,5433,3731,"C5, C7"
21,5433,4425,"C10, C8"
22,8102,4211,"B8, B7bis"
23,8102,3050,"B5, B6, B7, B9"
24,9067,4351,B10
25,9067,3421,B4
26,9067,2789,B13
27,9125,5529,A15
28,9077,6113,"F Building, A17"
29,10379,7326,E Building
30,11423,7195,KTX Lao
31,8806,8826,Stadium
32,7552,7532,TC Building
33,5244,6443,D7
34,2933,5993,Tien Lake
35,1803,6000,"D4, D6, D8"
